ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-06-01,49.6376452336612,53.791744746426566,77.33261545856655,49.6376452336612,49.6376452336612,15.852841851831403,15.852841851831403,15.852841851831403,-0.39565726122712164,-0.39565726122712164,-0.39565726122712164,16.248499113058525,16.248499113058525,16.248499113058525,0.0,0.0,0.0,65.4904870854926
2018-06-02,49.634946047650274,52.92893027294623,76.32173162266999,49.634946047650274,49.634946047650274,15.006607549883546,15.006607549883546,15.006607549883546,-1.4390651605099822,-1.4390651605099822,-1.4390651605099822,16.445672710393527,16.445672710393527,16.445672710393527,0.0,0.0,0.0,64.64155359753381
2018-06-03,49.63224686163935,55.945992872521224,77.1539554325619,49.63224686163935,49.63224686163935,16.75548565027931,16.75548565027931,16.75548565027931,0.1343336062321305,0.1343336062321305,0.1343336062321305,16.62115204404718,16.62115204404718,16.62115204404718,0.0,0.0,0.0,66.38773251191867
2018-06-04,49.62954767562842,54.422471401132476,78.3629294393029,49.62954767562842,49.62954767562842,16.632951284745563,16.632951284745563,16.632951284745563,-0.14507947404050703,-0.14507947404050703,-0.14507947404050703,16.77803075878607,16.77803075878607,16.77803075878607,0.0,0.0,0.0,66.26249896037399
2018-06-05,49.626848489617494,55.41908638655029,77.75892830777049,49.626848489617494,49.626848489617494,16.926299831404947,16.926299831404947,16.926299831404947,0.006713555027449202,0.006713555027449202,0.006713555027449202,16.919586276377498,16.919586276377498,16.919586276377498,0.0,0.0,0.0,66.55314832102243
2018-06-06,49.624149303606565,56.175390059488734,78.78003178136038,49.624149303606565,49.624149303606565,17.90849302004676,17.90849302004676,17.90849302004676,0.8592786545201598,0.8592786545201598,0.8592786545201598,17.049214365526595,17.049214365526595,17.049214365526595,0.0,0.0,0.0,67.53264232365332
2018-06-07,49.621450117595636,55.77001765332993,79.89713653343516,49.621450117595636,49.621450117595636,18.14983805988493,18.14983805988493,18.14983805988493,0.979476080000468,0.979476080000468,0.979476080000468,17.17036197988446,17.17036197988446,17.17036197988446,0.0,0.0,0.0,67.77128817748057
2018-06-08,49.6187509315847,54.13252129799534,77.85336173631245,49.6187509315847,49.6187509315847,16.89080231116709,16.89080231116709,16.89080231116709,-0.3956572612259784,-0.3956572612259784,-0.3956572612259784,17.28645957239307,17.28645957239307,17.28645957239307,0.0,0.0,0.0,66.50955324275179
2018-06-09,49.61605174557377,53.803141928631696,77.64637205662426,49.61605174557377,49.61605174557377,15.961788948419784,15.961788948419784,15.961788948419784,-1.4390651605096816,-1.4390651605096816,-1.4390651605096816,17.400854108929465,17.400854108929465,17.400854108929465,0.0,0.0,0.0,65.57784069399355
2018-06-10,49.61335255956284,55.15848187697267,78.54166694373612,49.61335255956284,49.61335255956284,17.651077604025083,17.651077604025083,17.651077604025083,0.13433360623303953,0.13433360623303953,0.13433360623303953,17.516743997792044,17.516743997792044,17.516743997792044,0.0,0.0,0.0,67.26443016358792
2018-06-11,49.61065337355191,56.02287065581874,78.47494905133435,49.61065337355191,49.61065337355191,17.492037649812715,17.492037649812715,17.492037649812715,-0.14507947404164107,-0.14507947404164107,-0.14507947404164107,17.637117123854356,17.637117123854356,17.637117123854356,0.0,0.0,0.0,67.10269102336463
2018-06-12,49.60795418754098,55.292156049150734,79.73994877536298,49.60795418754098,49.60795418754098,17.771406682232303,17.771406682232303,17.771406682232303,0.006713555027386785,0.006713555027386785,0.006713555027386785,17.764693127204914,17.764693127204914,17.764693127204914,0.0,0.0,0.0,67.37936086977328
2018-06-13,49.60525500153006,57.021790718739574,80.13480214360477,49.60525500153006,49.60525500153006,18.761149650751126,18.761149650751126,18.761149650751126,0.8592786545172302,0.8592786545172302,0.8592786545172302,17.901870996233892,17.901870996233892,17.901870996233892,0.0,0.0,0.0,68.36640465228119
2018-06-14,49.60255581551913,57.51416793321212,79.89089157935486,49.60255581551913,49.60255581551913,19.03015903525839,19.03015903525839,19.03015903525839,0.9794760800011103,0.9794760800011103,0.9794760800011103,18.05068295525728,18.05068295525728,18.05068295525728,0.0,0.0,0.0,68.63271485077752
2018-06-15,49.5998566295082,55.73502285704357,79.02379612452681,49.5998566295082,49.5998566295082,17.817098256800065,17.817098256800065,17.817098256800065,-0.39565726122690914,-0.39565726122690914,-0.39565726122690914,18.212755518026974,18.212755518026974,18.212755518026974,0.0,0.0,0.0,67.41695488630828
2018-06-16,49.597157443497274,53.37736799503013,77.3293546514196,49.597157443497274,49.597157443497274,16.950213291947243,16.950213291947243,16.950213291947243,-1.4390651605093805,-1.4390651605093805,-1.4390651605093805,18.389278452456622,18.389278452456622,18.389278452456622,0.0,0.0,0.0,66.54737073544452
2018-06-17,49.594458257486345,57.00877233359309,80.81644594509712,49.594458257486345,49.594458257486345,18.71531586675377,18.71531586675377,18.71531586675377,0.13433360623340956,0.13433360623340956,0.13433360623340956,18.58098226052036,18.58098226052036,18.58098226052036,0.0,0.0,0.0,68.3097741242401
2018-06-18,49.591759071475416,56.81531450243654,79.49081728862593,49.591759071475416,49.591759071475416,18.643045148784633,18.643045148784633,18.643045148784633,-0.1450794740397873,-0.1450794740397873,-0.1450794740397873,18.78812462282442,18.78812462282442,18.78812462282442,0.0,0.0,0.0,68.23480422026005
2018-06-19,49.58905988546448,57.3373123981285,80.36210734815607,49.58905988546448,49.58905988546448,19.017199647450383,19.017199647450383,19.017199647450383,0.0067135550281109645,0.0067135550281109645,0.0067135550281109645,19.010486092422273,19.010486092422273,19.010486092422273,0.0,0.0,0.0,68.60625953291486
2018-06-20,49.58636069945355,58.20862988777761,81.07081927438945,49.58636069945355,49.58636069945355,20.1066538043937,20.1066538043937,20.1066538043937,0.8592786545184956,0.8592786545184956,0.8592786545184956,19.247375149875207,19.247375149875207,19.247375149875207,0.0,0.0,0.0,69.69301450384725
2018-06-21,49.58366151344262,58.59336088112,81.68473083073084,49.58366151344262,49.58366151344262,20.477118634532875,20.477118634532875,20.477118634532875,0.9794760799999682,0.9794760799999682,0.9794760799999682,19.49764255453291,19.49764255453291,19.49764255453291,0.0,0.0,0.0,70.06078014797549
