ObservationDateTime,Temperature(F),Pressure(mb),PrecipDay(in),PrecipYr(in),WindSpeed(mph),WindDirection_West,WindDirection_South,WindDirection_East,RelativeHumidity,Visibility(mi),Conditions_Scattered,Conditions_Overcast Sky,Conditions_Low Visibility,Conditions_Broken Sky,Month_Jan,Month_Feb,Month_Mar,Month_Apr,Month_May,Month_Jue,Month_Jul,Month_Aug,Month_Sep,Month_Oct,Month_Nov,Month_Dec
2018-05-22 22:55:00+00:00,70.0,1017.27,0.0,4.44,5.7,0.0,0.0,0.0,0.732,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-23 04:55:00+00:00,54.0,1019.65,0.0,4.44,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-23 10:55:00+00:00,50.0,1021.68,0.0,4.44,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-23 16:55:00+00:00,75.0,1022.69,0.0,4.44,0.0,0.0,0.0,0.0,0.537,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-23 22:55:00+00:00,81.0,1020.32,0.0,4.44,0.0,0.0,0.0,0.0,0.368,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-24 04:55:00+00:00,63.0,1022.35,0.0,4.44,0.0,0.0,0.0,0.0,0.68,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-24 10:55:00+00:00,57.0,1022.69,0.0,4.44,0.0,0.0,0.0,0.0,0.938,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-24 16:55:00+00:00,82.0,1021.68,0.0,4.44,9.2,0.0,1.0,0.0,0.451,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-24 22:55:00+00:00,88.0,1017.61,0.0,4.44,3.4,0.0,1.0,0.0,0.355,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 04:55:00+00:00,68.0,1016.94,0.0,4.44,0.0,0.0,0.0,0.0,0.685,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 10:55:00+00:00,61.0,1014.9,0.0,4.44,0.0,0.0,0.0,0.0,0.88,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 16:55:00+00:00,88.0,1013.21,0.0,4.44,8.1,0.0,1.0,0.0,0.43,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 22:55:00+00:00,81.0,1008.81,0.0,4.44,9.2,1.0,0.0,0.0,0.579,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-26 04:55:00+00:00,72.0,1009.49,0.0,4.44,0.0,0.0,0.0,0.0,0.941,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-26 10:55:00+00:00,64.0,1008.47,0.0,4.44,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-26 16:55:00+00:00,84.0,1009.15,0.0,4.44,4.6,0.0,1.0,0.0,0.62,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-26 22:55:00+00:00,91.0,1006.78,0.0,4.44,0.0,0.0,0.0,0.0,0.383,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-27 04:55:00+00:00,73.0,1009.82,0.0,4.44,0.0,0.0,0.0,0.0,0.833,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-27 10:55:00+00:00,68.0,1010.84,0.0,4.44,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-27 16:55:00+00:00,91.0,1011.86,0.0,4.44,3.4,0.0,1.0,0.0,0.493,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-27 22:55:00+00:00,97.0,1010.84,0.0,4.44,0.0,0.0,0.0,0.0,0.284,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
